smiles,index
C/C=C/C=C/C=C/C(=O)N[C@@H](CC(=O)N[C@H](C(=O)[C@@H]1C(=O)NC(=O)[C@H]1C)C(C)C)c1ccccc1,26
CCn1cc(C(=O)O)c(=O)c2cc(F)c(-n3cccc3)cc21,27
CC(=O)NCC1CN(c2ccc(C(C)=O)cc2)C(=O)O1,28
CCC(C)CCCCC(=O)NC1C(=O)NC(CCN)C(=O)NC(CC(=O)O)C(=O)NCC(=O)NC(CC(N)=O)C(=O)NC(CC(=O)O)C(=O)NCC(=O)NC(Cc2cc3ccccc3[nH]2)C(=O)NC(C(C)CC)C(=O)NC(CCN)C(=O)NC(Cc2ccccc2)C(=O)OC1C,29
CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21,30
CC(C)(Cc1ccc2ccccc2c1)NC[C@@H](O)CSc1ccc([N+](=O)[O-])cc1,31
CC[C@H]1OC(=O)[C@H](C)C(=O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@@H](C)C[C@@H](C)C(=O)/C=C/[C@]1(C)O,32
CC(=O)N(C)[C@H](C(=O)N1C[C@H](C)C[C@H]1C(=O)N(C)[C@@H]1C(=O)N[C@@H](CC(C)C)C(=O)N2C[C@H](C)C[C@H]2C(=O)N[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N2C[C@H](C3CCCCC3)C[C@H]2C(=O)N(C)[C@H](CC(C)C)C(=O)NCC(=O)O[C@@H]1C)C(C)C,33
Nc1nc(C(=NO)C(=O)NC2C(=O)N3C(C(=O)O)=C(SCc4cn[nH]c4)CSC23)cs1,34
COC1CCC(OC2CC(C3OC(O)(CO)C(C)CC3C)OC2C2(C)CCC(C3(C)CCC4(CC(O)C(C)C(C(C)C5OC(O)(CC(=O)O)C(C)C(OC6CCC(OC)C(C)O6)C5OC)O4)O3)O2)OC1C,35
NC(=S)NS(=O)(=O)c1ccc(N)cc1,36
C/C=C/C=C/C1OC(O)(C(CC)C(=O)NC/C=C/C=C(\C)C(OC)C(C)C2CC(O)C(/C=C/C=C/C=C/C(=O)O)O2)CC(O)C1(C)O,37
COc1c(N2CCC[C@H](N)C2)ccc2c(=O)c(C(=O)O)cn(C3CC3)c12,38
N[C@H]1CCN(c2c(F)cc3c4c(cc(Br)cc24)C(=O)N(O)C3=O)C1,39
CCSC1=C(C(=O)O)N2C(=O)[C@H]([C@@H](C)O)[C@H]2S1,40
CC(=O)Nc1ccc(/C=N/NC(N)=S)cc1,41
COCCOc1c(OC)cc(Cc2cnc(N)nc2N)cc1OC,42
Cc1nnc(SCC2=C(C(=O)O)N3C(=O)[C@@H](NC(=O)Cn4cc(Cl)c(=O)c(Cl)c4)[C@H]3SC2)s1,43
